,pt,r_num,SAFE,THREAT
4,32,5,-0.3883833258888889,0.3883833255555556
9,33,5,0.18064904744444446,-0.1806490476666667
14,37,5,-0.4462126376666666,0.4462126375555556
19,38,5,-0.374898112,0.374898112
24,41,5,0.08647489355555557,-0.0864748937777778
29,42,5,0.0,0.0
34,46,5,0.24086600422222226,-0.24086600433333336
39,47,5,-0.1613406312222222,0.16134063099999998
44,48,5,-0.17649436977777774,0.1764943692222222
49,49,5,0.2899820827777778,-0.2899820830000001
54,50,5,0.0,0.0
59,51,5,0.2518397991,-0.3147997491250001
64,52,5,0.049511975999999985,-0.06188997075000002
69,53,5,0.0021475742000000237,-0.002684466750000003
74,54,5,-0.417606512875,0.33408521029999994
79,56,5,-0.1081714535555556,0.10817145366666664
84,57,5,0.2932483130000001,-0.2932483129999999
89,58,5,0.18117392922222225,-0.1811739301111111
94,59,5,-0.11114616000000004,0.11114616033333327
99,60,5,-0.10783197477777777,0.10783197488888896
104,61,5,0.0,0.0
109,63,5,0.0,0.0
114,64,5,-0.0732543001111111,0.07325430055555564
119,65,5,0.0,0.0
124,66,5,-0.3848208351111111,0.3848208352222222
129,67,5,-0.05685759755555556,0.05685759788888895
134,68,5,0.2771427777777777,-0.2771427777777777
139,69,5,0.020645062333333228,-0.020645062111111098
144,70,5,0.0,0.0
149,71,5,-0.1083229221111111,0.10832292188888888
154,72,5,-0.2899736843333333,0.2899736845555556
159,73,5,0.2357022607777777,-0.23570226
164,74,5,-0.3575736628888889,0.35757366311111105
