,index,time,GSR,shock,stims,contexts,trls_rec
2700,8729,0.7274,-0.2151,0,0,0.0,2700.0
2701,8730,0.7275,-0.2182,0,0,0.0,2701.0
2702,8731,0.7276,-0.2197,0,0,0.0,2702.0
2703,8732,0.7277,-0.2182,0,0,0.0,2703.0
2704,8733,0.7278,-0.2182,0,0,0.0,2704.0
2705,8734,0.7278,-0.2182,0,0,0.0,2705.0
2706,8735,0.7279,-0.2243,0,0,0.0,2706.0
2707,8736,0.728,-0.2197,0,0,0.0,2707.0
2708,8737,0.7281,-0.2243,0,0,0.0,2708.0
2709,8738,0.7282,-0.2197,0,0,0.0,2709.0
2710,8739,0.7282,-0.2228,0,0,0.0,2710.0
2711,8740,0.7283,-0.2228,0,0,0.0,2711.0
2712,8741,0.7284,-0.2213,0,0,0.0,2712.0
2713,8742,0.7285,-0.2228,0,0,0.0,2713.0
2714,8743,0.7286,-0.2243,0,0,0.0,2714.0
2715,8744,0.7287,-0.2243,0,0,0.0,2715.0
2716,8745,0.7288,-0.2274,0,0,0.0,2716.0
2717,8746,0.7288,-0.2243,0,0,0.0,2717.0
2718,8747,0.7289,-0.2274,0,0,0.0,2718.0
2719,8748,0.7290000000000001,-0.2289,0,0,0.0,2719.0
2720,8749,0.7291,-0.2289,0,0,0.0,2720.0
2721,8750,0.7292,-0.2319,0,0,0.0,2721.0
2722,8751,0.7292,-0.235,0,0,0.0,2722.0
2723,8752,0.7293,-0.2335,0,0,0.0,2723.0
2724,8753,0.7294,-0.2319,0,0,0.0,2724.0
2725,8754,0.7295,-0.2335,0,0,0.0,2725.0
2726,8755,0.7296,-0.2365,0,0,0.0,2726.0
2727,8756,0.7297,-0.235,0,0,0.0,2727.0
2728,8757,0.7298,-0.23800000000000002,0,0,0.0,2728.0
2729,8758,0.7298,-0.2396,0,0,0.0,2729.0
2730,8759,0.7299,-0.23800000000000002,0,0,0.0,2730.0
2731,8760,0.73,-0.2365,0,0,0.0,2731.0
2732,8761,0.7301,-0.23800000000000002,0,0,0.0,2732.0
2733,8762,0.7302,-0.2396,0,0,0.0,2733.0
2734,8763,0.7302,-0.2396,0,0,0.0,2734.0
2735,8764,0.7303,-0.2411,0,0,0.0,2735.0
2736,8765,0.7304,-0.2441,0,0,0.0,2736.0
2737,8766,0.7305,-0.2426,0,0,0.0,2737.0
