,Unnamed: 0,cntxt_num,count,mean,pt,r_num,index,context_num,context_type,context_shock,cntxt_trialnum,Mean,STD
0,0.0,0.0,3.0,0.0,63.0,1.0,1.0,0.0,SAFE,None,1.0,0.00045,0.0019091883092036783
1,1.0,1.0,3.0,0.0,63.0,1.0,7.0,1.0,THREAT,None,1.0,0.00045,0.0019091883092036783
2,2.0,2.0,3.0,0.0,63.0,1.0,13.0,2.0,SAFE,None,1.0,0.00045,0.0019091883092036783
3,3.0,3.0,3.0,0.0,63.0,1.0,19.0,3.0,THREAT,None,1.0,0.00045,0.0019091883092036783
4,4.0,4.0,3.0,0.0,63.0,1.0,25.0,4.0,THREAT,None,1.0,0.00045,0.0019091883092036783
5,5.0,5.0,3.0,0.0,63.0,1.0,31.0,5.0,THREAT,None,1.0,0.00045,0.0019091883092036783
6,6.0,6.0,3.0,0.0,63.0,1.0,37.0,6.0,THREAT,None,1.0,0.00045,0.0019091883092036783
7,7.0,7.0,3.0,0.0,63.0,1.0,43.0,7.0,SAFE,None,1.0,0.00045,0.0019091883092036783
8,8.0,8.0,3.0,0.0,63.0,1.0,49.0,8.0,SAFE,None,1.0,0.00045,0.0019091883092036783
9,9.0,9.0,3.0,0.0,63.0,1.0,55.0,9.0,SAFE,None,1.0,0.00045,0.0019091883092036783
10,10.0,10.0,3.0,0.0,63.0,1.0,61.0,10.0,SAFE,None,1.0,0.00045,0.0019091883092036783
11,11.0,11.0,3.0,0.0,63.0,1.0,67.0,11.0,SAFE,None,1.0,0.00045,0.0019091883092036783
12,12.0,12.0,3.0,0.0,63.0,1.0,73.0,12.0,THREAT,None,1.0,0.00045,0.0019091883092036783
13,13.0,13.0,3.0,0.0,63.0,1.0,79.0,13.0,THREAT,prior,1.0,0.00045,0.0019091883092036783
14,,,,,,,,,,,,0.00045,0.0019091883092036783
15,15.0,15.0,3.0,0.0,63.0,1.0,91.0,13.0,THREAT,post,1.0,0.00045,0.0019091883092036783
16,16.0,16.0,3.0,0.0,63.0,1.0,97.0,14.0,SAFE,None,1.0,0.00045,0.0019091883092036783
17,17.0,17.0,3.0,0.0,63.0,1.0,103.0,15.0,THREAT,None,1.0,0.00045,0.0019091883092036783
18,18.0,18.0,3.0,0.0081,63.0,1.0,109.0,16.0,SAFE,None,1.0,0.0,0.0
19,0.0,0.0,3.0,0.0,63.0,2.0,1.0,0.0,SAFE,None,1.0,0.0,0.0
20,1.0,1.0,3.0,0.0,63.0,2.0,7.0,1.0,THREAT,None,1.0,0.0,0.0
21,2.0,2.0,3.0,0.0,63.0,2.0,13.0,2.0,THREAT,None,1.0,0.0,0.0
22,3.0,3.0,3.0,0.0,63.0,2.0,19.0,3.0,THREAT,None,1.0,0.0,0.0
23,4.0,4.0,3.0,0.0,63.0,2.0,25.0,4.0,SAFE,None,1.0,0.0,0.0
24,5.0,5.0,3.0,0.0,63.0,2.0,31.0,5.0,THREAT,None,1.0,0.0,0.0
25,6.0,6.0,3.0,0.0,63.0,2.0,37.0,6.0,SAFE,None,1.0,0.0,0.0
26,7.0,7.0,3.0,0.0,63.0,2.0,43.0,7.0,THREAT,prior,1.0,0.0,0.0
27,,,,,,,,,,,,0.0,0.0
28,9.0,9.0,3.0,0.0,63.0,2.0,55.0,7.0,THREAT,post,1.0,0.0,0.0
29,10.0,10.0,3.0,0.0,63.0,2.0,61.0,8.0,SAFE,None,1.0,0.0,0.0
30,11.0,11.0,3.0,0.0,63.0,2.0,67.0,9.0,SAFE,None,1.0,0.0,0.0
31,12.0,12.0,3.0,0.0,63.0,2.0,73.0,10.0,SAFE,None,1.0,0.0,0.0
32,13.0,13.0,3.0,0.0,63.0,2.0,79.0,11.0,SAFE,None,1.0,0.0,0.0
33,14.0,14.0,3.0,0.0,63.0,2.0,85.0,12.0,SAFE,None,1.0,0.0,0.0
34,15.0,15.0,3.0,0.0,63.0,2.0,91.0,13.0,THREAT,None,1.0,0.0,0.0
35,16.0,16.0,3.0,0.0,63.0,2.0,97.0,14.0,THREAT,None,1.0,0.0,0.0
36,17.0,17.0,3.0,0.0,63.0,2.0,103.0,15.0,THREAT,None,1.0,0.0007611111111111112,0.003229120967418567
37,18.0,18.0,3.0,0.0,63.0,2.0,109.0,16.0,SAFE,None,1.0,0.0007611111111111112,0.003229120967418567
38,0.0,0.0,3.0,0.0,63.0,3.0,1.0,0.0,SAFE,None,1.0,0.0007611111111111112,0.003229120967418567
39,1.0,1.0,3.0,0.0,63.0,3.0,7.0,1.0,SAFE,None,1.0,0.0007611111111111112,0.003229120967418567
40,2.0,2.0,3.0,0.0,63.0,3.0,13.0,2.0,SAFE,None,1.0,0.0007611111111111112,0.003229120967418567
41,3.0,3.0,3.0,0.0,63.0,3.0,19.0,3.0,SAFE,None,1.0,0.0007611111111111112,0.003229120967418567
42,4.0,4.0,3.0,0.0,63.0,3.0,25.0,4.0,SAFE,None,1.0,0.0007611111111111112,0.003229120967418567
43,5.0,5.0,3.0,0.0,63.0,3.0,31.0,5.0,THREAT,None,1.0,0.0007611111111111112,0.003229120967418567
44,6.0,6.0,3.0,0.0137,63.0,3.0,37.0,6.0,THREAT,None,1.0,0.0007611111111111112,0.003229120967418567
45,7.0,7.0,3.0,0.0,63.0,3.0,43.0,7.0,THREAT,prior,1.0,0.0007611111111111112,0.003229120967418567
46,,,,,,,,,,,,0.0007611111111111112,0.003229120967418567
47,9.0,9.0,3.0,0.0,63.0,3.0,55.0,7.0,THREAT,post,1.0,0.0007611111111111112,0.003229120967418567
48,10.0,10.0,3.0,0.0,63.0,3.0,61.0,8.0,THREAT,None,1.0,0.0007611111111111112,0.003229120967418567
49,11.0,11.0,3.0,0.0,63.0,3.0,67.0,9.0,THREAT,None,1.0,0.0007611111111111112,0.003229120967418567
50,12.0,12.0,3.0,0.0,63.0,3.0,73.0,10.0,SAFE,None,1.0,0.0007611111111111112,0.003229120967418567
51,13.0,13.0,3.0,0.0,63.0,3.0,79.0,11.0,THREAT,None,1.0,0.0007611111111111112,0.003229120967418567
52,14.0,14.0,3.0,0.0,63.0,3.0,85.0,12.0,SAFE,None,1.0,0.0007611111111111112,0.003229120967418567
53,15.0,15.0,3.0,0.0,63.0,3.0,91.0,13.0,THREAT,None,1.0,0.0007611111111111112,0.003229120967418567
54,16.0,16.0,3.0,0.0,63.0,3.0,97.0,14.0,SAFE,None,1.0,0.0003111111111111111,0.0013199326582148886
55,17.0,17.0,3.0,0.0,63.0,3.0,103.0,15.0,THREAT,None,1.0,0.0003111111111111111,0.0013199326582148886
56,18.0,18.0,3.0,0.0,63.0,3.0,109.0,16.0,SAFE,None,1.0,0.0003111111111111111,0.0013199326582148886
57,0.0,0.0,3.0,0.0,63.0,4.0,1.0,0.0,THREAT,None,1.0,0.0003111111111111111,0.0013199326582148886
58,1.0,1.0,3.0,0.0,63.0,4.0,7.0,1.0,THREAT,None,1.0,0.0003111111111111111,0.0013199326582148886
59,2.0,2.0,3.0,0.0,63.0,4.0,13.0,2.0,SAFE,None,1.0,0.0003111111111111111,0.0013199326582148886
60,3.0,3.0,3.0,0.0,63.0,4.0,19.0,3.0,SAFE,None,1.0,0.0003111111111111111,0.0013199326582148886
61,4.0,4.0,3.0,0.0,63.0,4.0,25.0,4.0,SAFE,None,1.0,0.0003111111111111111,0.0013199326582148886
62,5.0,5.0,3.0,0.0,63.0,4.0,31.0,5.0,THREAT,None,1.0,0.0003111111111111111,0.0013199326582148886
63,6.0,6.0,3.0,0.0,63.0,4.0,37.0,6.0,THREAT,None,1.0,0.0003111111111111111,0.0013199326582148886
64,7.0,7.0,3.0,0.0,63.0,4.0,43.0,7.0,THREAT,prior,1.0,0.0003111111111111111,0.0013199326582148886
65,,,,,,,,,,,,0.0003111111111111111,0.0013199326582148886
66,9.0,9.0,3.0,0.0,63.0,4.0,55.0,7.0,THREAT,post,1.0,0.0003111111111111111,0.0013199326582148886
67,10.0,10.0,3.0,0.0,63.0,4.0,61.0,8.0,SAFE,None,1.0,0.0003111111111111111,0.0013199326582148886
68,11.0,11.0,3.0,0.0,63.0,4.0,67.0,9.0,SAFE,None,1.0,0.0003111111111111111,0.0013199326582148886
69,12.0,12.0,3.0,0.0,63.0,4.0,73.0,10.0,SAFE,None,1.0,0.0003111111111111111,0.0013199326582148886
70,13.0,13.0,3.0,0.0,63.0,4.0,79.0,11.0,THREAT,None,1.0,0.0003111111111111111,0.0013199326582148886
71,14.0,14.0,3.0,0.0056,63.0,4.0,85.0,12.0,THREAT,None,1.0,0.0003111111111111111,0.0013199326582148886
72,15.0,15.0,3.0,0.0,63.0,4.0,91.0,13.0,SAFE,None,1.0,0.0,0.0
73,16.0,16.0,3.0,0.0,63.0,4.0,97.0,14.0,THREAT,None,1.0,0.0,0.0
74,17.0,17.0,3.0,0.0,63.0,4.0,103.0,15.0,SAFE,None,1.0,0.0,0.0
75,18.0,18.0,3.0,0.0,63.0,4.0,109.0,16.0,THREAT,None,1.0,0.0,0.0
76,0.0,0.0,3.0,0.0,63.0,5.0,1.0,0.0,THREAT,None,1.0,0.0,0.0
77,1.0,1.0,3.0,0.0,63.0,5.0,7.0,1.0,THREAT,None,1.0,0.0,0.0
78,2.0,2.0,3.0,0.0,63.0,5.0,13.0,2.0,SAFE,None,1.0,0.0,0.0
79,3.0,3.0,3.0,0.0,63.0,5.0,19.0,3.0,SAFE,None,1.0,0.0,0.0
80,4.0,4.0,3.0,0.0,63.0,5.0,25.0,4.0,SAFE,prior,1.0,0.0,0.0
81,,,,,,,,,,,,0.0,0.0
82,6.0,6.0,3.0,0.0,63.0,5.0,37.0,4.0,SAFE,post,1.0,0.0,0.0
83,7.0,7.0,3.0,0.0,63.0,5.0,43.0,5.0,THREAT,None,1.0,0.0,0.0
84,8.0,8.0,3.0,0.0,63.0,5.0,49.0,6.0,THREAT,None,1.0,0.0,0.0
85,9.0,9.0,3.0,0.0,63.0,5.0,55.0,7.0,SAFE,None,1.0,0.0,0.0
