,Unnamed: 0,cntxt_num,count,mean,pt,r_num,index,context_num,context_type,context_shock,cntxt_trialnum
0,0,0,3,0.0,63,1,1,0.0,SAFE,None,1.0
1,1,1,3,0.0,63,1,7,1.0,THREAT,None,1.0
2,2,2,3,0.0,63,1,13,2.0,SAFE,None,1.0
3,3,3,3,0.0,63,1,19,3.0,THREAT,None,1.0
4,4,4,3,0.0,63,1,25,4.0,THREAT,None,1.0
5,5,5,3,0.0,63,1,31,5.0,THREAT,None,1.0
6,6,6,3,0.0,63,1,37,6.0,THREAT,None,1.0
7,7,7,3,0.0,63,1,43,7.0,SAFE,None,1.0
8,8,8,3,0.0,63,1,49,8.0,SAFE,None,1.0
9,9,9,3,0.0,63,1,55,9.0,SAFE,None,1.0
10,10,10,3,0.0,63,1,61,10.0,SAFE,None,1.0
11,11,11,3,0.0,63,1,67,11.0,SAFE,None,1.0
12,12,12,3,0.0,63,1,73,12.0,THREAT,None,1.0
13,13,13,3,0.0,63,1,79,13.0,THREAT,prior,1.0
15,15,15,3,0.0,63,1,91,13.0,THREAT,post,1.0
16,16,16,3,0.0,63,1,97,14.0,SAFE,None,1.0
17,17,17,3,0.0,63,1,103,15.0,THREAT,None,1.0
18,18,18,3,0.0081,63,1,109,16.0,SAFE,None,1.0
19,0,0,3,0.0,63,2,1,0.0,SAFE,None,1.0
20,1,1,3,0.0,63,2,7,1.0,THREAT,None,1.0
21,2,2,3,0.0,63,2,13,2.0,THREAT,None,1.0
22,3,3,3,0.0,63,2,19,3.0,THREAT,None,1.0
23,4,4,3,0.0,63,2,25,4.0,SAFE,None,1.0
24,5,5,3,0.0,63,2,31,5.0,THREAT,None,1.0
25,6,6,3,0.0,63,2,37,6.0,SAFE,None,1.0
26,7,7,3,0.0,63,2,43,7.0,THREAT,prior,1.0
28,9,9,3,0.0,63,2,55,7.0,THREAT,post,1.0
29,10,10,3,0.0,63,2,61,8.0,SAFE,None,1.0
30,11,11,3,0.0,63,2,67,9.0,SAFE,None,1.0
31,12,12,3,0.0,63,2,73,10.0,SAFE,None,1.0
32,13,13,3,0.0,63,2,79,11.0,SAFE,None,1.0
33,14,14,3,0.0,63,2,85,12.0,SAFE,None,1.0
34,15,15,3,0.0,63,2,91,13.0,THREAT,None,1.0
35,16,16,3,0.0,63,2,97,14.0,THREAT,None,1.0
36,17,17,3,0.0,63,2,103,15.0,THREAT,None,1.0
37,18,18,3,0.0,63,2,109,16.0,SAFE,None,1.0
38,0,0,3,0.0,63,3,1,0.0,SAFE,None,1.0
39,1,1,3,0.0,63,3,7,1.0,SAFE,None,1.0
40,2,2,3,0.0,63,3,13,2.0,SAFE,None,1.0
41,3,3,3,0.0,63,3,19,3.0,SAFE,None,1.0
42,4,4,3,0.0,63,3,25,4.0,SAFE,None,1.0
43,5,5,3,0.0,63,3,31,5.0,THREAT,None,1.0
44,6,6,3,0.0137,63,3,37,6.0,THREAT,None,1.0
45,7,7,3,0.0,63,3,43,7.0,THREAT,prior,1.0
47,9,9,3,0.0,63,3,55,7.0,THREAT,post,1.0
48,10,10,3,0.0,63,3,61,8.0,THREAT,None,1.0
49,11,11,3,0.0,63,3,67,9.0,THREAT,None,1.0
50,12,12,3,0.0,63,3,73,10.0,SAFE,None,1.0
51,13,13,3,0.0,63,3,79,11.0,THREAT,None,1.0
52,14,14,3,0.0,63,3,85,12.0,SAFE,None,1.0
53,15,15,3,0.0,63,3,91,13.0,THREAT,None,1.0
54,16,16,3,0.0,63,3,97,14.0,SAFE,None,1.0
55,17,17,3,0.0,63,3,103,15.0,THREAT,None,1.0
56,18,18,3,0.0,63,3,109,16.0,SAFE,None,1.0
57,0,0,3,0.0,63,4,1,0.0,THREAT,None,1.0
58,1,1,3,0.0,63,4,7,1.0,THREAT,None,1.0
59,2,2,3,0.0,63,4,13,2.0,SAFE,None,1.0
60,3,3,3,0.0,63,4,19,3.0,SAFE,None,1.0
61,4,4,3,0.0,63,4,25,4.0,SAFE,None,1.0
62,5,5,3,0.0,63,4,31,5.0,THREAT,None,1.0
63,6,6,3,0.0,63,4,37,6.0,THREAT,None,1.0
64,7,7,3,0.0,63,4,43,7.0,THREAT,prior,1.0
66,9,9,3,0.0,63,4,55,7.0,THREAT,post,1.0
67,10,10,3,0.0,63,4,61,8.0,SAFE,None,1.0
68,11,11,3,0.0,63,4,67,9.0,SAFE,None,1.0
69,12,12,3,0.0,63,4,73,10.0,SAFE,None,1.0
70,13,13,3,0.0,63,4,79,11.0,THREAT,None,1.0
