,pt,r_num,SAFE,THREAT
0,32,1,0.007658096000000034,-0.007658095333333379
5,33,1,0.2890193043333333,-0.2890193041111111
10,37,1,0.3321200127777778,-0.33212001266666674
15,38,1,0.12963928055555554,-0.1296392807777778
20,41,1,0.2436888862222222,-0.2436888856666667
25,42,1,0.3213113736666667,-0.321311374
30,46,1,-0.23570226,0.2357022607777777
35,47,1,0.1190672106,-0.148834013
40,48,1,0.16956877089999994,-0.21196096375
45,49,1,0.3701937135,-0.296154971
50,50,1,-0.18119754312500005,0.14495803440000005
55,51,1,-0.412296664125,0.3298373314
60,52,1,-0.330512164,0.3305121646666667
65,53,1,0.13315667944444445,-0.1331566788888889
70,54,1,-0.008429841777777823,0.008429841555555583
75,56,1,0.31421690210000003,-0.392771127375
80,57,1,0.12219351755555558,-0.12219351800000006
85,58,1,0.06439836833333337,-0.06439836799999993
90,59,1,0.08466345911111113,-0.08466345888888888
95,60,1,0.1512389191111111,-0.15123891955555555
100,61,1,0.0,0.0
105,63,1,0.2357022607777777,-0.23570226
110,64,1,0.20312256066666665,-0.2031225604444444
115,65,1,0.0,0.0
120,66,1,0.15490078522222214,-0.15490078500000004
125,67,1,0.2523158103333333,-0.25231581000000003
130,68,1,0.24855636222222224,-0.2485563622222223
135,69,1,0.16553782788888885,-0.165537828
140,70,1,0.0,0.0
145,71,1,-0.2486308254444445,0.24863082488888896
150,72,1,0.3179311458888889,-0.3179311462222222
155,73,1,0.1177622956666667,-0.11776229566666666
160,74,1,-0.06716216166666668,0.06716216211111113
